,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
13651,Oncogene/PMC4981874.nxml,0.0,Didier Trono,material;psPAX2;pLV;tTRKRAB;luciferase;reporter,TCF/LEF;Roel Nusse (Addgene,"The following material was kindly provided by: pMD2.G (Addgene #12259), psPAX2 (Addgene #12260), pLVTHM (Addgene #12247) and pLV-tTRKRAB-red (Addgene #12250) from Didier Trono; TCF/LEF luciferase reporter from Roel Nusse (Addgene #24307).",provide;plvthm
13652,Oncogene/PMC4994019.nxml,0.0,Peter Nelson,cell;lines;reagents;comments,Fred Hutchinson Cancer Research Center,"We thank Dr Peter Nelson (Fred Hutchinson Cancer Research Center) for kindly providing fibroblast cell lines, essential reagents and conferring critical comments.",thank;provide;confer
13658,Oncogene/PMC4862573.nxml,0.0,Adam Moore,assistance,,We would like to thank Adam Moore for technical assistance.,like;thank
13662,Oncogene/PMC4985511.nxml,0.0,Scott Friedman,flox;mice;sharing;data;publication,,"Scott Friedman for providing the  Klf6 flox  mice and
sharing data prior to publication.",provide
13667,Oncogene/PMC4820040.nxml,1.0,Zelda Goldenberg Professorial Chair,incumbent,,YY is the incumbent of the Harold and Zelda Goldenberg Professorial Chair.,
13669,Oncogene/PMC4960006.nxml,0.0,Thomas Ried,cell;line,NCI,We also thank Dr. Thomas Ried for providing NCI H508 cell line.,thank;provide
13672,Oncogene/PMC4688957.nxml,0.0,Takeshi G Kashima,manuscript;memory;friend;colleague;work,,"This manuscript is dedicated to the memory of Dr Takeshi G Kashima, friend and colleague, without whom this work would not progress.",dedicate;progress
13683,Oncogene/PMC5023453.nxml,0.0,Francis Robert,tail;vein;injections;lymphoma;cells;mice,,We thank Francis Robert for performing tail-vein injections of lymphoma cells into mice.,thank;perform
13688,Oncogene/PMC5057041.nxml,0.0,John Hancock,Plasmids;cells;mGFP,MDCK,Plasmids encoding tagged LactC2 and MDCK cells stably expressing either mGFP-K- or H-rasG12V were kindly provided by Prof John Hancock.,encode;tag;express;provide
13689,Oncogene/PMC5057041.nxml,0.0,Rob Parton,Plasmids,PTRF,Plasmids encoding PTRF and Cav-1 were kindly provided by Prof Rob Parton.,encode;provide
13690,Oncogene/PMC5057041.nxml,1.0,Jasmin Varjonen,support,,We thank Jasmin Varjonen for experimental support.,thank
13693,Oncogene/PMC5036161.nxml,0.0,Hiroyuki Suzuki,data;advice;seq;analysis;discussion;advice,The University of Tokyo;Tsukuba University,"The University of Tokyo) for the ChIP-seq data and advice regarding RIP-seq analysis, and to Dr Hiroyuki Suzuki (Tsukuba University) for discussion and advice.",
13695,Oncogene/PMC5036162.nxml,0.0,Mike Costa,neo;stability;microsomes;hepatocytes,Genentech,"We thank Dr Mike Costa and Genentech (South San Francisco, CA, USA) for assessing neo's stability in microsomes and hepatocytes.",thank;assess
13701,Oncogene/PMC4960005.nxml,0.0,Tim D. Eubank,support;angiogenesis;study,Department of Internal Medicine;The Ohio State University,"We thank Dr. Tim D. Eubank (Department of Internal Medicine, The Ohio State University, Columbus, Ohio, USA) for the valuable support with angiogenesis study.",thank
13703,Oncogene/PMC5050049.nxml,0.0,Alberto Delgado,authors;expertise;performance;immunohistochemistry;studies,,The authors thank Alberto Delgado for his technical expertise and performance of SMOX immunohistochemistry studies.,thank
13707,Oncogene/PMC5140770.nxml,1.0,Karie Ballard,members;lab;help;manuscript,,"We would like to thank the members of the Williams lab, and Karie Ballard for help in revising and proofreading the manuscript.",like;thank;revise;proofread
13711,Oncogene/PMC4114138.nxml,0.0,Lukas Kenner,tumor;sections;hematoxylin;eosin;stainings,,We thank Lukas Kenner for processing tumor sections and hematoxylin and eosin stainings.,thank;process
13712,Oncogene/PMC4114138.nxml,1.0,Raphaela Schwentner,recipient;fellowship,DOC;the Austrian Academy of Sciences,Raphaela Schwentner is a recipient of a DOC-fFORTE fellowship of the Austrian Academy of Sciences.,
13716,Oncogene/PMC5112156.nxml,1.0,Elise Nilsson,authors;assistance,,The authors thank Elise Nilsson for excellent technical assistance.,thank
13718,Oncogene/PMC5102828.nxml,0.0,Michael Worley,manuscript,the Department of Scientific Publications;MD Anderson Cancer Center,We thank Michael Worley and the Department of Scientific Publications at MD Anderson Cancer Center for editing the manuscript.,thank;edit
13719,Oncogene/PMC5102827.nxml,0.0,Gerry Weinmaster,JAGGED1;cell;lines,JAGGED1;UCLA,The JAGGED1 and DLL1 expressing cell lines were kindly provide by Dr. Gerry Weinmaster (UCLA).,express
13720,Oncogene/PMC5102827.nxml,0.0,Andreas Stasser,cells,Eliza Hall Institute for Medical Research,"HPB-ALL cells were kindly provided by Andreas Stasser (Walter and Eliza Hall Institute for Medical Research, Australia).",provide
13724,Oncogene/PMC5140783.nxml,0.0,Neeraj Agarwal,data,,We would like to thank Dr. Neeraj Agarwal for providing the TERT experimental data.,like;thank;provide
13728,Oncogene/PMC4980122.nxml,0.0,Jean-René Sylvestre,animal;care,,We thank Jean-René Sylvestre for excellent animal care.,thank
13730,Oncogene/PMC5192006.nxml,1.0,Valerie Sodi,reading;manuscript,,We thank Valerie Sodi for critical reading of this manuscript.,thank
13739,Oncogene/PMC5031501.nxml,1.0,Kate Luby-Phelps,,S10,(S10 RR029731-01) to Kate Luby-Phelps.,
13743,Oncogene/PMC5140775.nxml,1.0,Nancy Linford,editing;manuscript,,We also thank Dr. Nancy Linford for her professional editing of the manuscript.,thank
13744,Oncogene/PMC3898318.nxml,0.0,Alan D'Andrea,cells;vectors;advice,Professors Toshiyasu Taniguchi;FANCD2-expressing,"We thank Professors Toshiyasu Taniguchi and Alan D'Andrea for providing cells, the FANCD2-expressing retroviral vectors and for their technical advice.",thank;provide;fancd2-express
13750,Oncogene/PMC5143367.nxml,0.0,Masahiko Kuroda,cell;lines,MLS,We thank Masahiko Kuroda for kindly providing MLS cell lines.,thank;provide
13751,Oncogene/PMC5143367.nxml,0.0,Luc Gailhouste,review;manuscript,,We also acknowledge Luc Gailhouste for his careful review of the manuscript.,acknowledge
13752,Oncogene/PMC4275416.nxml,1.0,Ahn Tran,assistance,Bryant Marure,"We thank Shuangping Zhao, Bryant Marure and Tuan-Ahn Tran for technical assistance.",thank
13754,Oncogene/PMC5173450.nxml,1.0,Meena Jaggi,PC130870, Department of Defense;the National Institutes of Health;the College of Pharmacy Dean,Meena Jaggi:  Department of Defense (PC130870); the National Institutes of Health (UO1 CA162106A) and the College of Pharmacy Dean,
13755,Oncogene/PMC5173450.nxml,0.0,Seed Grant,,the University of Tennessee Health Science Center,Seed Grant of the University of Tennessee Health Science Center.,
13756,Oncogene/PMC5173450.nxml,1.0,Cathy Christopherson,authors;assistance,,The authors are also thankful to Cathy Christopherson for editorial assistance.,
13759,Oncogene/PMC3174365.nxml,1.0,Anne Kallioniemi,breast;cancer;cancer;cell;lines,Tampere University Hospital,"The breast cancer and pancreatic cancer cell lines were provided by Dr Anne Kallioniemi (Tampere University Hospital, Finland).",provide
13760,Oncogene/PMC3174365.nxml,0.0,Richard Hamelin,colon;cancer;cell;lines,INSERM,"The non-commercially available colon cancer cell lines were provided by Dr Richard Hamelin (INSERM, Paris, France).  ",provide
13773,Oncogene/PMC5257174.nxml,0.0,Barton Branstetter,interpretation;findings;patients,,We thank Dr. Barton Branstetter for the interpretation of the radiographic findings of the enrolled patients.,thank;enrol
13776,Oncogene/PMC5287293.nxml,1.0,Julia Gee,discussion;antiestrogen;experiments,,We thank Dr. Julia Gee for discussion about antiestrogen experiments.,thank
13779,Oncogene/PMC5215748.nxml,0.0,Ian Gallicano,evaluation;manuscript;feedback,,"Finally, we thank Dr. Ian Gallicano for critical evaluation of the manuscript and for providing constructive feedback.",thank;provide
13780,Oncogene/PMC5269535.nxml,0.0,Quentin Liu's,laboratory;members;commends;support,,We thank Quentin Liu's laboratory members for their critical commends and technical support.,thank
13781,Oncogene/PMC5269534.nxml,0.0,Stanley Lin,manuscript,,We thank Dr Stanley Lin for the careful reading the manuscript.,thank;read
13787,Oncogene/PMC5322249.nxml,1.0,Karen Creswell,guidance,the Flow Cytometry;Cell Sorting Shared Resource,We would also like to thank Dr. Karen Creswell from the Flow Cytometry and Cell Sorting Shared Resource (FCSR) for her technical guidance.,like;thank
13789,Oncogene/PMC5096687.nxml,0.0,János Molnár,assistance;data;processing,,We thank János Molnár for his assistance in data processing.,thank
13791,Oncogene/PMC5318667.nxml,1.0,Lingling Chen,support;work,,We are especially grateful to Dr Lingling Chen for generous support to this work.,
13811,Oncogene/PMC5357761.nxml,0.0,Oliver Dorigo,gift;cancer;cell;lines,Stanford University Medical Center,"We thank Professor Oliver Dorigo, Stanford University Medical Center, for the generous gift of cisplatin-resistant ovarian cancer cell lines.",thank
13821,Oncogene/PMC5386836.nxml,0.0,Leland W.K. Chung,C4;cells,,We thank Dr. Leland W.K. Chung for providing C4-2 cells and Drs.,thank;provide
13824,Oncogene/PMC5386836.nxml,0.0,Michael Epperly,assistance;irradiation;experiments,,We thank Dr. Michael Epperly for assistance in designing and performing irradiation experiments.,thank;design;perform
13827,Oncogene/PMC5336385.nxml,0.0,Elie Haddad,members;laboratory;flow;cytometry;animal;facility;support,,"We are grateful to the members of Dr Elie Haddad’s laboratory, flow cytometry and animal facility for providing technical support.",provide
13834,Oncogene/PMC5245767.nxml,1.0,Susan Malcolm,study;memory,,This study is dedicated to the memory of Professor Susan Malcolm.,dedicate
13837,Oncogene/PMC5393956.nxml,1.0,Deanna Edwards,review;manuscript,,We thank Deanna Edwards for careful review of the manuscript.,thank
13838,Oncogene/PMC5393973.nxml,0.0,Sarat Chandarlapaty,research;support,Lilly,Dr. Sarat Chandarlapaty has received research support from Novartis and Lilly.,receive
13843,Oncogene/PMC5390101.nxml,0.0,John Ghadessy,reading;manuscript,,We thank Dr Farid John Ghadessy for critical reading of the manuscript.,thank
13844,Oncogene/PMC5390101.nxml,1.0,Sarah Binte Zulkifli,Ms;microscope;assistance,,We thank Ms Sarah Binte Zulkifli for microscope technical assistance.,thank
13849,Oncogene/PMC5419051.nxml,0.0,Jerald Ainsworth,authors;assistance,,The authors thank Dr. Jerald Ainsworth for editorial assistance.,thank
13851,Oncogene/PMC5398917.nxml,0.0,Stephen Weiss,line;mice;background;members;lab;review;manuscript,FVB,"We thank Dr. Stephen Weiss for the MMTV-Cre line A mice in FVB background, and members of the Kleer lab for critical review of the manuscript.",thank
13853,Oncogene/PMC5399154.nxml,1.0,Keiko Yuki,assistance;members;laboratory;discussion;advice,,"We also thank Keiko Yuki for technical assistance, as well as the members of the Miyazono laboratory for discussion and advice.",thank
13857,Oncogene/PMC5398941.nxml,1.0,Jenna Karras,data;discussions,The University of Texas MD;Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center, Smithville, TX, USA) for providing the data in Figure 1d and Jenna Karras and T Banerjee for helpful discussions.",provide
13859,Oncogene/PMC5415944.nxml,0.0,Alessandro Santin,gift;cells,,We thank Alessandro Santin for the gift of ARK2 cells.,thank
13862,Oncogene/PMC5418103.nxml,1.0,Denise A Chan,appreciation;prevents;inclusion;co;author,UCSF,"Special appreciation is given to Dr Denise A Chan (UCSF), whose untimely passing in 2014 prevents inclusion as a co-author.",give;pass
13868,Oncogene/PMC5438912.nxml,0.0,Ivan Spasojevic,assistance;share;facility,DCI;Pharmacokinetics and Investigational Chemotherapy,We appreciate the technical assistance of Ivan Spasojevic and the DCI’s Pharmacokinetics and Investigational Chemotherapy share facility.,appreciate
13871,Oncogene/PMC5426972.nxml,0.0,Roger Erickson,support;assistance;preparation;manuscript,,We thank Dr. Roger Erickson for his support and assistance with preparation of the manuscript.,thank
13872,Oncogene/PMC5426972.nxml,1.0,Iryna V. Lobach,help;analysis,UCSF,We acknowledge UCSF CTSI (Dr. Iryna V. Lobach) for help with statistical analysis.,acknowledge
13875,Oncogene/PMC5442421.nxml,0.0,Pierre Sonveaux,,FNRS,Pierre Sonveaux is a Research Associate of the F.R.S.-FNRS.,
13877,Oncogene/PMC5442426.nxml,0.0,Barrett J. Rollins,cdk3,,We thank Dr Barrett J. Rollins for the pRcCMV-cdk3 (pCMV-cdk3);,thank
13881,Oncogene/PMC5442428.nxml,0.0,Adrian W Moore,support;antibodies,The University of Texas Health Science Centre;Brain Science Institute,(The University of Texas Health Science Centre at Houston) and Adrian W Moore (RIKEN Brain Science Institute) for their support in evaluating antibodies against EVI1.,evaluate
13884,Oncogene/PMC5447866.nxml,1.0,Denise Ribar,assistance,,We also thank Denise Ribar for excellent technical assistance.,thank
13893,Oncogene/PMC5467017.nxml,0.0,Kenneth Fernandes,members;discussions;work;support,University of Dundee,"We thank members of the CRUK Skin Tumor Laboratory (CRUK-STL), University of Dundee, for useful discussions throughout this work and in particular Kenneth Fernandes for technical support.",thank
13894,Oncogene/PMC5467017.nxml,0.0,Brian Johnson,core;help,School of Medicine;University of Washington;IHC,"We also thank Brian Johnson (Histology and Imaging core, School of Medicine, University of Washington) for help with IHC.",thank
13899,Oncogene/PMC5474568.nxml,0.0,Riccardo Gattai,melanoma;samples,S. Maria Annunziata Hospital;Nicola Pimpinelli (Department of Dermatology;University of Florence;Department of Medical-Surgical Critical Area;Oncological Surgery;University of Florence,"(S. Maria Annunziata Hospital, Florence, Italy), Nicola Pimpinelli (Department of Dermatology, University of Florence, Florence, Italy) and Riccardo Gattai (Department of Medical-Surgical Critical Area, General and Oncological Surgery, University of Florence, Florence, Italy) for providing melanoma samples,",provide
13902,Oncogene/PMC5485180.nxml,0.0,Quentin Liu’s,lab;members;commends;support,,We thank Quentin Liu’s lab members for their critical commends and technical support.,thank
13906,Oncogene/PMC5485221.nxml,1.0,Susanne Nozell,luciferase;vectors;manuscript,University of Erlangen;Darren Ó hAilín;University of Freiburg;UAB,University of Erlangen) for providing NF-κB luciferase vectors and Darren Ó hAilín (University of Freiburg) and Susanne Nozell (UAB) for editing the manuscript.,provide;edit
13907,Oncogene/PMC5472485.nxml,0.0,John Hancock,vector,University of Texas Health Science Center,Dr. John Hancock at University of Texas Health Science Center at Houston generously provided pEGFP-C1 vector.,provide
13908,Oncogene/PMC5472485.nxml,1.0,Nancy Laning Sobczak,support;CAS;support;Ph.D.,the Hundred Talents Program;NIH;the Rock River Cancer Research Foundation;CLW;Breast Cancer Research Award;CLW;NIH;ZY,"2016YFA0501401 and the support from the Hundred Talents Program of CAS to B.Z. Additional support was provided by NIH R01 CA188871 (CLW), the Rock River Cancer Research Foundation (CLW), and the Nancy Laning Sobczak, Ph.D., Breast Cancer Research Award (CLW), NIH R01HL128647 (ZY).",b.z.;provide
13916,Oncogene/PMC5502315.nxml,1.0,Yun Yeo,gift;expression;vectors,,Yun Yeo for the gift of retroviral expression vectors.,
13921,Oncogene/PMC5509483.nxml,0.0,Hussein Tawbi,comments;manuscript,,We thank Dr Hussein Tawbi for constructive comments on the manuscript.,thank
13922,Oncogene/PMC5509483.nxml,1.0,Cherie Butts,mouse;antibody,Biogen,We thank Cherie Butts from Biogen for providing anti-mouse CD20 antibody.,thank;provide
13923,Oncogene/PMC5511239.nxml,1.0,Sonal Jhaveri,office;help;draft;manuscript,Postdoctoral;Graduate Student Affairs;the Dana-Farber Cancer Institute,"I thank Dr Sonal Jhaveri, in the Postdoctoral and Graduate Student Affairs office at the Dana-Farber Cancer Institute, for help with editing a draft of the manuscript.",thank;edit
